Date,Open,High,Low,Close,Adj Close,Volume
2018-01-11,13.020000,13.200000,13.000000,13.160000,12.843708,28342300
2018-01-12,13.100000,13.290000,13.100000,13.230000,12.912025,56979200
2018-01-16,13.310000,13.480000,13.010000,13.100000,12.785151,53961400
2018-01-17,12.580000,12.580000,12.100000,12.180000,11.887262,132412500
2018-01-18,12.180000,12.200000,12.020000,12.070000,11.779905,66541700
2018-01-19,12.120000,12.120000,11.910000,12.000000,11.711588,51303700
2018-01-22,12.020000,12.080000,11.900000,12.020000,11.731108,52851900
2018-01-23,12.030000,12.030000,11.900000,11.960000,11.672549,51831000
2018-01-24,12.000000,12.090000,11.920000,12.050000,11.760386,63300500
2018-01-25,11.930000,11.930000,11.440000,11.570000,11.291923,114886800
2018-01-26,11.590000,11.700000,11.500000,11.650000,11.370000,52496000
2018-01-29,11.420000,11.470000,11.110000,11.120000,11.120000,55114000
2018-01-30,11.090000,11.230000,11.050000,11.060000,11.060000,52068200
2018-01-31,11.090000,11.120000,10.900000,10.970000,10.970000,57644600
2018-02-01,10.950000,11.000000,10.850000,10.920000,10.920000,41352200
2018-02-02,10.880000,10.880000,10.620000,10.710000,10.710000,72312900
2018-02-05,10.780000,10.800000,10.240000,10.240000,10.240000,96757000
2018-02-06,10.270000,10.790000,10.190000,10.760000,10.760000,139938100
2018-02-07,10.750000,11.040000,10.700000,10.760000,10.760000,68041800
2018-02-08,10.790000,10.860000,10.420000,10.430000,10.430000,73990700
2018-02-09,10.570000,10.640000,10.240000,10.530000,10.530000,71878400
